Date,Open Price,High_Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
06-Apr-21,16935.5,17111,16820,17078.3,17011.22902,2895,1176,49247508,1365,47.15,291,142.8
05-Apr-21,17125,17149.6,16721.8,16909.2,16917.05264,8833,2384,149428326,6323,71.58,427.8,-215.8
01-Apr-21,17105,17143.05,16968.9,17102.15,17072.49775,3554,1144,60675657,1041,29.29,174.15,-2.85
31-Mar-21,17135,17261.45,16952.8,17170.25,17166.19596,5052,1412,86723622,3001,59.4,308.65,35.25
30-Mar-21,16570,17218,16570,17114.05,16984.08188,5227,1789,88775796,2034,38.91,648,544.05
26-Mar-21,16398,16600.05,16250.5,16568.3,16454.94067,4096,1393,67399437,2282,55.71,349.55,170.3
25-Mar-21,16493,16583,16116,16173.85,16329.6467,4206,1515,68682494,1394,33.14,467,-319.15
24-Mar-21,16600,16762.45,16409,16452.6,16593.07439,4073,1225,67583592,2104,51.66,353.45,-147.4
23-Mar-21,16599,16747.7,16498.9,16693.6,16693.27903,8275,2124,138136884,5436,65.69,248.8,94.6
22-Mar-21,16415,16672.65,16350.05,16594.25,16505.43402,2728,888,45026824,1481,54.29,322.6,179.25
19-Mar-21,16202,16590.1,16075.15,16444.35,16409.48636,6378,2122,104659704,3191,50.03,514.95,242.35
18-Mar-21,16458,16625,16172.75,16202.7,16346.30619,4961,2102,81094025,2356,47.49,452.25,-255.3
17-Mar-21,16749,16749.35,16350,16458.1,16447.17357,7288,2195,119867001,4008,54.99,399.35,-290.9
16-Mar-21,16850.05,17031,16690,16749.25,16811.85913,3315,1339,55731313,1621,48.9,341,-100.8
15-Mar-21,16767,16860,16596,16831.25,16761.09338,4273,1582,71620152,2134,49.94,264,64.25
12-Mar-21,16850,16990,16649.4,16766.2,16850.9191,7614,1760,128302898,5268,69.19,340.6,-83.8
10-Mar-21,16913.35,16999.35,16785.45,16936.7,16919.90216,5417,1608,91655110,3846,71,213.9,23.35
09-Mar-21,16900,16930,16660,16899.35,16789.14667,1759,668,29532109,589,33.48,270,-0.65
08-Mar-21,16780,16888,16631,16851.35,16837.01886,5726,1131,96408770,3832,66.92,257,71.35
05-Mar-21,16405.15,16836.7,16405.15,16774.45,16703.7734,3226,1148,53886373,1666,51.64,431.55,369.3
04-Mar-21,16790,16790,16450,16649.4,16640.67626,11982,945,199388583,9974,83.24,340,-140.6
03-Mar-21,16780,16780,16553.3,16694.85,16634.46165,2047,731,34050743,502,24.52,226.7,-85.15
02-Mar-21,16399,16631.55,16290.3,16571.95,16486.01793,3793,1347,62531466,1884,49.67,341.25,172.95
01-Mar-21,16274.95,16360,16090.7,16288.2,16208.35926,4590,1337,74396369,2100,45.75,269.3,13.25
26-Feb-21,16075,16287.2,16010,16097.7,16117.88997,13733,4290,221346983,6701,48.79,277.2,22.7
25-Feb-21,16394.7,16394.7,16102,16114.35,16274.07035,18735,3054,304894708,13665,72.94,292.7,-280.35
24-Feb-21,16249,16800,15900,16351.75,16198.02004,18013,3824,291774935,12699,70.5,900,102.75
23-Feb-21,16123,16250,16003,16165.25,16144.50503,6261,1860,101080746,1873,29.92,247,42.25
22-Feb-21,16400,16531.05,16024.6,16099.2,16201.35908,9051,3526,146638501,4625,51.1,506.45,-300.8
19-Feb-21,16395,16477.6,16214.45,16386.1,16336.32006,5777,2431,94374921,2482,42.96,263.15,-8.9
18-Feb-21,17050,17050,16307,16374.15,16484.2355,13711,3533,226015353,9858,71.9,743,-675.85
17-Feb-21,16900,16900,16360,16739.9,16663.36232,28701,9264,478255162,14296,49.81,540,-160.1
16-Feb-21,17600,17634.6,17141.25,17222.45,17286.1615,7901,2887,136577962,3613,45.73,493.35,-377.55
15-Feb-21,17290,17500,17280,17484.5,17418.60612,1927,693,33565654,526,27.3,220,194.5
12-Feb-21,17449.85,17500,17241,17286.1,17390.6638,3486,1273,60623854,1326,38.04,259,-163.75
11-Feb-21,17167.7,17442,17165.55,17416.65,17360.11802,2025,671,35154239,688,33.98,276.45,248.95
10-Feb-21,17396.9,17439.3,17083.8,17167.7,17232.10027,3341,1563,57572447,1376,41.19,355.5,-229.2
09-Feb-21,17340,17510.7,17164.05,17325.8,17379.78224,2714,946,47168729,978,36.04,346.65,-14.2
08-Feb-21,17199.95,17280,17107.35,17213.55,17221.47234,7122,1725,122651326,2108,29.6,172.65,13.6
05-Feb-21,17244,17244,17019.95,17123.3,17080.32161,2503,947,42752045,1226,48.98,224.05,-120.7
04-Feb-21,17250,17250,17054.8,17073.2,17166.10536,13193,907,226472428,12037,91.24,195.2,-176.8
03-Feb-21,17247.45,17284,17064.35,17155.4,17179.34361,2270,930,38997110,528,23.26,219.65,-92.05
02-Feb-21,17211,17328.1,16800,17189.35,17202.15447,3852,1545,66262699,1260,32.71,528.1,-21.65
01-Feb-21,17162.1,17277,16996.45,17096.95,17113.03629,3169,1436,54231212,1303,41.12,280.55,-65.15
29-Jan-21,17500,17500,16961.2,17068.7,17267.15864,2118,893,36571842,863,40.75,538.8,-431.3
28-Jan-21,17401,17519.95,17205.75,17375.4,17472.72987,12790,1611,223476215,10833,84.7,314.2,-25.6
27-Jan-21,17560,17590,17344.7,17547.65,17482.97588,2114,1217,36959011,900,42.57,245.3,-12.35
25-Jan-21,17799,17799,17236.75,17443.6,17363.20242,3715,1294,64504297,1181,31.79,562.25,-355.4
22-Jan-21,17999,17999,17300,17580.15,17696.7759,2606,899,46117798,1102,42.29,699,-418.85
21-Jan-21,17769,17899.85,17660,17714.5,17762.05508,2197,885,39023235,717,32.64,239.85,-54.5
20-Jan-21,17815,17938.35,17630.45,17677.75,17751.92825,3080,1327,54675939,1114,36.17,307.9,-137.25
19-Jan-21,17650.05,17802.3,17650.05,17755.55,17744.0462,1645,705,29188956,528,32.1,152.25,105.5
18-Jan-21,17801,18075,17567.05,17629.15,17820.28008,6798,2623,121142264,2230,32.8,507.95,-171.85
15-Jan-21,18149,18238.1,17800,17872.25,17979.79369,3233,1400,58128673,1223,37.83,438.1,-276.75
14-Jan-21,18000,18200.65,18000,18128.95,18053.67825,13694,1230,247227070,11394,83.2,200.65,128.95
13-Jan-21,18005,18268.4,17961.55,18022.75,18105.93537,5524,2221,100017187,1488,26.94,306.85,17.75
12-Jan-21,18387,18395,17957.8,18003.8,18113.16842,4281,2308,77542474,1985,46.37,437.2,-383.2
11-Jan-21,18418,18538.25,18189,18392.9,18350.43534,2513,792,46114644,501,19.94,349.25,-25.1
08-Jan-21,18242,18339.95,18002,18295.45,18164.31166,3199,1749,58107633,1173,36.67,337.95,53.45
07-Jan-21,18611.95,18621.05,18073,18139.75,18274.03534,3028,1266,55333779,1146,37.85,548.05,-472.2
06-Jan-21,18500,18606,18437.8,18510.6,18505.77652,2734,1293,50594793,1129,41.29,168.2,10.6
05-Jan-21,18356,18615.95,18284.15,18571.6,18485.03117,4363,1691,80650191,1678,38.46,331.8,215.6
04-Jan-21,18450,18572.4,18324.5,18388.25,18460.82974,2966,1308,54754821,1048,35.33,247.9,-61.75
01-Jan-21,18380,18509.9,18304.15,18451.05,18447.33702,4973,1302,91738607,1109,22.3,205.75,71.05
31-Dec-20,18050,18450,18050,18392.35,18347.94165,2862,1212,52511809,875,30.57,400,342.35
30-Dec-20,18457,18460,18240,18398.55,18339.38535,4588,1718,84141100,1790,39.01,220,-58.45
29-Dec-20,18666,18669.9,18171.9,18268.5,18338.85784,5093,1905,93399803,1768,34.71,498,-397.5
